ID_P,Data,Settimana,Squadra_C,Squadra_T,Possesso_C,Possesso_T
1988896,2015-12-30,19,8472,8650,36,64
1988897,2015-12-28,19,9817,8586,42,58
1988898,2015-12-28,19,8659,10261,62,38
1988899,2015-12-28,19,8654,8466,47,53
1988900,2016-01-02,20,9825,10261,62,38
1988901,2016-01-03,20,9826,8455,32,68
1988902,2016-01-03,20,8668,8586,37,63
1988903,2016-01-02,20,8197,8678,31,69
1988904,2016-01-02,20,10260,10003,65,35
1988905,2016-01-02,20,9850,8466,41,59
1988906,2016-01-02,20,8472,10252,57,43
1988907,2016-01-02,20,9817,8456,47,53
1988908,2016-01-02,20,8659,10194,41,59
1988909,2016-01-02,20,8654,8650,42,58
1988910,2016-01-12,21,10252,9826,57,43
1988911,2016-01-12,21,8678,8654,56,44
1988912,2016-01-13,21,10003,8472,70,30
1988913,2016-01-13,21,8650,9825,60,40
1988914,2016-01-13,21,8455,8659,56,44
1988915,2016-01-13,21,8456,8668,55,45
1988916,2016-01-12,21,10261,10260,56,44
1988917,2016-01-13,21,8466,9817,44,56
1988918,2016-01-13,21,10194,9850,51,49
1988919,2016-01-13,21,8586,8197,64,36
1988920,2016-01-16,22,10252,8197,50,50
1988921,2016-01-16,22,8678,9850,56,44
1988922,2016-01-16,22,8455,8668,57,43
1988923,2016-01-17,22,8650,10260,51,49
1988924,2016-01-16,22,8456,9826,42,58
1988925,2016-01-16,22,10261,8654,59,41
1988926,2016-01-16,22,8466,8659,66,34
1988927,2016-01-17,22,10194,9825,48,52
1988928,2016-01-18,22,10003,9817,65,35
1988929,2016-01-16,22,8586,8472,69,31
1988930,2016-01-24,23,9825,8455,56,44
1988931,2016-01-23,23,9826,8586,24,76
1988932,2016-01-24,23,8668,10003,44,56
1988933,2016-01-23,23,8197,10194,48,52
1988934,2016-01-23,23,10260,8466,52,48
1988935,2016-01-23,23,9850,8650,53,47
1988936,2016-01-23,23,8472,8678,44,56
1988937,2016-01-23,23,9817,10261,52,48
1988938,2016-01-23,23,8659,10252,46,54
1988939,2016-01-23,23,8654,8456,41,59
1988940,2016-02-02,24,9825,8466,61,39
1988941,2016-02-02,24,8197,8650,43,57
1988942,2016-02-02,24,9850,8586,30,70
1988943,2016-02-02,24,8472,8456,36,64
1988944,2016-02-03,24,9817,8455,36,64
1988945,2016-02-02,24,8654,10252,49,51
1988946,2016-02-02,24,9826,8678,47,53
1988947,2016-02-02,24,10260,10194,54,46
1988948,2016-02-02,24,8659,10003,39,61
1988949,2016-02-03,24,8668,10261,68,32
1988950,2016-02-06,25,10252,9850,62,38
1988951,2016-02-07,25,8678,9825,41,59
1988952,2016-02-07,25,8455,10260,32,68
1988953,2016-02-06,25,8650,8472,85,15
1988954,2016-02-06,25,8456,8197,68,32
1988955,2016-02-06,25,10261,8659,84,16
1988956,2016-02-06,25,8466,8654,58,42
1988957,2016-02-06,25,10194,8668,53,47
1988958,2016-02-06,25,10003,9826,69,31
1988959,2016-02-06,25,8586,9817,66,34
1988960,2016-02-14,26,9825,8197,68,32
1988961,2016-02-14,26,10252,8650,42,58
1988962,2016-02-13,26,8678,10194,74,26
1988963,2016-02-13,26,8455,10261,41,59
1988964,2016-02-13,26,9826,9817,41,59
1988965,2016-02-13,26,8668,8659,67,33
1988966,2016-02-14,26,8456,8586,40,60
1988967,2016-02-13,26,9850,8654,44,56
1988968,2016-02-13,26,8472,10260,28,72
1988969,2016-02-13,26,10003,8466,49,51
1988970,2016-02-27,27,8197,9850,68,32
1988971,2016-04-20,27,8650,8668,61,39
1988972,2016-02-28,27,10260,9825,49,51
1988973,2016-04-19,27,10261,8456,24,76
1988974,2016-02-27,27,8466,8455,46,54
1988975,2016-02-27,27,10194,10252,55,45
1988976,2016-02-28,27,8586,10003,55,45
1988977,2016-02-27,27,9817,8678,45,55
1988978,2016-02-27,27,8659,9826,47,53
1988979,2016-02-27,27,8654,8472,67,33
1988980,2016-03-02,28,9825,10003,59,41
1988981,2016-03-01,28,10252,8668,34,66
1988982,2016-03-01,28,8678,8466,47,53
1988983,2016-03-01,28,8197,8659,60,40
1988984,2016-03-01,28,9850,8455,45,55
1988985,2016-03-01,28,8472,9826,60,40
1988986,2016-03-02,28,8654,8586,33,67
1988987,2016-03-02,28,8650,8456,56,44
1988988,2016-03-02,28,10260,9817,60,40
1988989,2016-03-02,28,10194,10261,57,43
1988990,2016-03-05,29,8455,10194,49,51
1988991,2016-03-06,29,9826,8650,36,64
1988992,2016-03-05,29,8668,8654,55,45
